gadget_id,gadget_name,identifier,labels
124, iphone5c  sprint  8gb  blue, iphone5c sprint 8gb,
125, iphone5c  unlocked  8gb  blue, iphone5c unlocked 8gb,
126, iphone5c  at&t  8gb  yellow, iphone5c att 8gb,
127, iphone5c  at&t  8gb  pink, iphone5c att 8gb,
128, iphone5c  at&t  8gb  green, iphone5c att 8gb,
129, iphone5c  at&t  8gb  white, iphone5c att 8gb,
130, iphone5c  verizon  8gb  yellow, iphone5c verizon 8gb,
131, iphone5c  verizon  8gb  pink, iphone5c verizon 8gb,
132, iphone5c  verizon  8gb  green, iphone5c verizon 8gb,
133, iphone5c  verizon  8gb  white, iphone5c verizon 8gb,
134, iphone5c  tmobile  8gb  yellow, iphone5c tmobile 8gb,
135, iphone5c  tmobile  8gb  pink, iphone5c tmobile 8gb,
